composite_depth_cm.x,min,max,median,mean
1,-70,151,-16,0
1.5,-65,155,-10,7
2,-63,162,-3,13
2.5,-61,167,5,19
3,-59,174,12,25
3.5,-57,182,19,31
4,-55,193,26,37
4.5,-54,204,32,43
5,-53,212,39,49
5.5,-51,226,45,55
6,-50,238,51,62
6.5,-44,244,57,67
7,-39,248,63,73
7.5,-36,253,68,79
8,-33,259,76,85
8.5,-31,264,82,91
9.5,-25,273,94,102
10,-23,282,99,108
10.5,-21,292,105,114
11,-18,304,111,120
11.5,-12,308,117,125
12,-5,313,123,131
12.5,0,319,130,137
13,3,326,136,143
13.5,9,332,142,148
14,12,340,147,154
14.5,16,345,153,160
15,20,351,159,166
15.5,21,363,165,171
16,24,374,169,177
16.5,31,379,177,183
17,33,383,183,189
17.5,40,386,190,195
18,44,390,196,201
18.5,48,398,201,206
19,51,408,206,212
19.5,54,417,212,218
20,58,427,218,224
20.5,61,436,224,230
21,65,449,230,236
21.5,71,452,235,241
22,75,457,239,246
22.5,80,461,244,251
23,86,467,249,256
23.5,89,474,255,261
24,91,479,259,267
24.5,94,484,265,272
25,98,489,270,277
25.5,100,495,275,282
26,103,503,281,287
26.5,111,509,286,293
27,122,516,292,299
27.5,131,523,298,306
28,133,531,304,312
28.5,138,539,311,318
29,143,548,318,324
29.5,148,555,323,330
30,153,564,330,336
30.5,156,570,337,342
31,160,581,344,349
31.5,165,583,349,354
32,170,588,356,360
32.5,174,596,362,366
33,177,600,369,372
33.5,179,604,374,378
34,183,610,381,383
34.5,185,619,385,389
35,186,628,391,395
35.5,189,634,398,401
36,191,642,404,407
36.5,202,648,409,413
37,211,655,415,419
37.5,220,663,421,425
38,226,669,427,431
38.5,234,673,433,437
39,240,678,439,443
39.5,242,688,445,449
40,246,694,451,455
40.5,251,701,457,461
41,255,709,463,467
42,269,716,473,478
42.5,273,718,478,483
43,278,722,485,489
43.5,283,729,490,495
44,287,736,496,500
44.5,291,743,503,506
45,295,750,508,511
45.5,297,754,514,517
46,300,759,520,522
46.5,304,763,525,528
47,311,768,531,534
47.5,318,771,537,539
48,322,778,543,545
48.5,328,782,549,551
49,332,788,554,556
49.5,337,794,560,562
50,342,800,566,568
50.5,347,806,572,573
51,352,813,577,579
51.5,360,817,583,585
52,365,819,589,591
52.5,370,823,595,596
53,377,828,601,602
53.5,383,835,608,608
54,387,839,615,614
54.5,391,843,621,619
55,397,848,628,625
55.5,399,853,633,631
56,403,859,640,636
56.5,413,863,646,642
57,420,867,651,648
57.5,428,871,656,653
58,434,875,662,659
58.5,441,880,667,665
59,447,884,673,670
59.5,453,891,678,676
60,458,896,684,682
60.5,463,905,689,687
61,467,914,694,693
61.5,472,919,701,699
62,478,921,706,704
62.5,483,924,711,710
63,490,930,718,716
63.5,497,933,724,722
64,500,941,730,727
64.5,506,945,736,733
65,511,952,743,739
65.5,515,962,749,745
66,517,968,755,750
66.5,527,973,761,756
67,537,976,767,762
67.5,545,980,773,767
68,554,983,779,773
68.5,560,987,784,778
69,566,991,789,784
69.5,571,994,794,789
70,575,1000,800,795
70.5,580,1006,805,801
71,584,1011,811,806
71.5,593,1014,816,812
72,601,1017,822,817
72.5,610,1022,827,823
73,618,1028,832,828
73.5,626,1034,837,834
74,631,1040,843,839
74.5,636,1044,848,845
75,639,1051,854,850
75.5,641,1055,859,856
76,645,1062,864,861
76.5,655,1065,870,867
77,665,1069,875,872
77.5,673,1073,881,878
78,682,1078,887,883
78.5,692,1081,892,889
79,698,1086,899,895
79.5,703,1090,905,900
80,710,1095,910,906
80.5,715,1100,916,911
81,718,1106,922,917
81.5,726,1108,927,922
82,735,1111,932,928
82.5,742,1115,938,933
83,750,1118,943,938
83.5,757,1122,948,944
84,763,1129,953,949
84.5,768,1135,958,955
85,773,1140,963,960
85.1,773,1141,964,961
85.6,777,1148,970,967
86.1,783,1154,975,972
86.6,794,1156,979,978
87.1,804,1159,985,983
87.6,813,1164,990,989
88.1,824,1167,995,995
88.6,831,1172,1001,1001
89.1,839,1175,1008,1006
89.6,845,1179,1014,1012
90.1,849,1183,1020,1018
90.6,855,1188,1026,1023
91.1,861,1193,1031,1029
91.6,870,1197,1037,1034
